mes,ton_cont_importacion,ton_cont_exportacion,ton_cont_transbordo,ton_contenerizada
2018-01-01,461812,203833,789375,1455020
2018-02-01,391527,219845,690389,1301761
2018-03-01,394428,208214,582161,1184803
2018-04-01,435671,234094,697096,1366861
2018-05-01,499256,233712,741223,1474191
2018-06-01,473022,242423,609889,1325334
2018-07-01,518574,265574,522917,1307065
2018-08-01,459848,315027,512005,1286880
2018-09-01,498285,272406,539408,1310099
2018-10-01,556049,269398,503834,1329281
2018-11-01,472717,266729,488854,1228300
2018-12-01,497959,248839,629754,1376552
2019-01-01,495786,226107,525362,1247255
2019-02-01,472569,234474,453450,1160493
2019-03-01,496241,267400,521574,1285215
2019-04-01,973285,95696,109623,1178604
2019-05-01,488984,228308,419235,1136527
2019-06-01,930427,112424,230127,1272978
2019-07-01,535136,274318,304269,1113723
2019-08-01,342744,146203,44536,533483
2019-09-01,500571,280108,90177,870856
2019-10-01,521628,312393,76478,910499
2019-11-01,429570,238565,61947,730082
2019-12-01,568304,301156,72009,941469
2020-01-01,472791,218565,38188,729544
2020-02-01,493866,255686,30579,780131
2020-03-01,402869,264133,66456,733458
2020-04-01,475540,214575,62773,752888
2020-05-01,387524,240550,60910,688984
2020-06-01,330283,226289,40383,596955
2020-07-01,404392,247590,46988,698970
2020-08-01,441691,296872,42263,780826
2020-09-01,406962,260956,45700,713618
2020-10-01,476353,316070,44013,836436
2020-11-01,509667,304174,42173,856014
2020-12-01,506329,309085,122567,937981
2021-01-01,448625,223305,109607,781537
2021-02-01,525724,315910,79834,921468
2021-03-01,507123,274063,28330,809516
2021-04-01,510134,268641,40646,819421
2021-05-01,520248,86757,118312,725317
2021-06-01,324270,109300,6843,440413
2021-07-01,312475,262100,24051,598626
2021-08-01,403958,303173,23335,730466
2021-09-01,475562,219418,22865,717845
2021-10-01,580782,230694,65545,877021
2021-11-01,513221,232871,45908,792000
2021-12-01,639589,235296,144245,1019130
2022-01-01,568020,183895,58246,810161
2022-02-01,527571,230109,168729,926409
2022-03-01,561002,270241,42339,873582
2022-04-01,453400,198434,30288,682122
2022-05-01,484839,220769,47790,753398
2022-06-01,564491,241797,47507,853795
2022-07-01,575436,220134,96248,891818
2022-08-01,651897,232681,64382,948960
2022-09-01,545404,240084,74177,859665
2022-10-01,502261,257216,61869,821346
2022-11-01,641413,252163,71761,965337
2022-12-01,493721,240145,65413,799279
2023-01-01,462214,194619,69787,726620
2023-02-01,495747,236874,61391,794012
2023-03-01,463275,233995,58218,755488
2023-04-01,502714,204114,40555,747383
2023-05-01,489335,234725,82820,806880
2023-06-01,556379,234060,94848,885287
2023-07-01,499518,247620,54418,801556
2023-08-01,486327,246252,38679,771258
2023-09-01,466764,234714,37439,738917
2023-10-01,560633,259411,79441,899485
2023-11-01,445720,203545,68440,717705
2023-12-01,615550,248030,105536,969116
2024-01-01,511419,207414,140821,859654
2024-02-01,580542,268966,77514,927022
2024-03-01,515560,258227,76792,850579
2024-04-01,562492,252812,108565,923869
2024-05-01,608654,229470,42200,880324
2024-06-01,585018,285133,53781,923932
2024-07-01,555836,252161,66026,874023
2024-08-01,639348,285948,154019,1079315
2024-09-01,584528,292392,149595,1026515
2024-10-01,621116,259849,112213,993178
2024-11-01,798997,341349,147257,1287603
2024-12-01,830296,352204,167711,1350211
2025-01-01,894785,275483,168421,1338689
2025-02-01,652793,253530,115523,1021846
2025-03-01,644145,249890,124397,1018432
2025-04-01,702277,156767,91206,950250
2025-05-01,784063,231738,120164,1135965
2025-06-01,715645,254048,123721,1093414
2025-07-01,765918,257001,109194,1132113
2025-08-01,784754,283867,118021,1186642
2025-09-01,753927,296759,110060,1160746
2025-10-01,800365,271326,108865,1180556
2025-11-01,709908,270857,98331,1079096
2025-12-01,851012,275854,72584,1199450
2026-01-01,736785,206015,75008,1017808
2026-02-01,729829,263624,85368,1078821
2026-03-01,706432,259224,98735,1064391
2026-04-01,687770,240043,82304,1010117
2026-05-01,858599,223476,71750,1153825
2026-06-01,711287,268409,53016,1032712
